Character,Final_Label,Series,Year,Network
Adam Kay,Gay,This Is Going to Hurt,2022,BBC One
Harry Muir,Gay,This Is Going to Hurt,2022,BBC One
Nick De Noia,Gay,Welcome to Chippendales,2022–2023,Hulu Star
Austin,Gay,Why Are You Like This,2022–,ABC
Mia,Bisexual,Why Are You Like This,2022–,ABC
Daniel,Gay,Why Are You Like This,2022–,ABC
Jade,[MANUAL_ENTRY_REQUIRED],Willow,2022–2023,Disney+
Princess Kit,[MANUAL_ENTRY_REQUIRED],Willow,2022–2023,Disney+
Carlos Cervantez,Bisexual,The Winchesters,2022–2023,The CW
Jamie Walsh,Gay,Wreck,2022-,BBC Three
Olly Reyes,Gay,Wreck,2022-,BBC Three
Vivian Lim,Lesbian,Wreck,2022-,BBC Three
Rosie Preston,[MANUAL_ENTRY_REQUIRED],Wreck,2022-,BBC Three
Niko,[MANUAL_ENTRY_REQUIRED],Absolute Beginners,2023,Netflix
Igor,[MANUAL_ENTRY_REQUIRED],Absolute Beginners,2023,Netflix
Felix Strickland,Gay,The Ark,2023-,SyFy
Jordan Forster,[MANUAL_ENTRY_REQUIRED],Beef,2023,Netflix
Naomi,[MANUAL_ENTRY_REQUIRED],Beef,2023,Netflix
Bunny Pringle,Queer,Black Cake,2023,Hulu
Bunny Pringle,Queer,Black Cake,2023,Hulu
Alfred Hillinghead,Gay,Bodies,2023,Netflix
Henry Ashe,Gay,Bodies,2023,Netflix
Joe Petrus / David Marking / Muscle,[MANUAL_ENTRY_REQUIRED],Culprits,2023,Disney+
Jules,[MANUAL_ENTRY_REQUIRED],Culprits,2023,Disney+
Beverly Mantle,[MANUAL_ENTRY_REQUIRED],Dead Ringers,2023,Amazon Prime Video
Genevieve Cotard,[MANUAL_ENTRY_REQUIRED],Dead Ringers,2023,Amazon Prime Video
Rebecca Parker,Lesbian,Dead Ringers,2023,Amazon Prime Video
Camille L'Espanaye,[MANUAL_ENTRY_REQUIRED],The Fall of the House of Usher,2023,Netflix
Madeline Usher,Bisexual,The Fall of the House of Usher,2023,Netflix
"Napoleon ""Leo"" Usher",[MANUAL_ENTRY_REQUIRED],The Fall of the House of Usher,2023,Netflix
Victorine LaFourcade,[MANUAL_ENTRY_REQUIRED],The Fall of the House of Usher,2023,Netflix
"Prospero ""Perry"" Usher",[MANUAL_ENTRY_REQUIRED],The Fall of the House of Usher,2023,Netflix
C. Auguste Dupin,[MANUAL_ENTRY_REQUIRED],The Fall of the House of Usher,2023,Netflix
"Dr. Alessandra ""Ali"" Ruiz",[MANUAL_ENTRY_REQUIRED],The Fall of the House of Usher,2023,Netflix
Julius,[MANUAL_ENTRY_REQUIRED],The Fall of the House of Usher,2023,Netflix
"Hawkins ""Hawk"" Fuller",Gay,Fellow Travelers,2023,Showtime
Tim Laughlin,[MANUAL_ENTRY_REQUIRED],Fellow Travelers,2023,Showtime
Mel Harmony,[MANUAL_ENTRY_REQUIRED],Full Circle,2023,Max
Carol,[MANUAL_ENTRY_REQUIRED],Full Circle,2023,Max
Natalia,[MANUAL_ENTRY_REQUIRED],Full Circle,2023,Max
Harper Row,[MANUAL_ENTRY_REQUIRED],Gotham Knights,2023,The CW
Stephanie Brown,[MANUAL_ENTRY_REQUIRED],Gotham Knights,2023,The CW
Cullen Row,[MANUAL_ENTRY_REQUIRED],Gotham Knights,2023,The CW
Itzi,Lesbian,Las pelotaris 1926,2023,Vix+
Riley Abel,Queer,The Last of Us,2023-,HBO
Bill,Gay,The Last of Us,2023-,HBO
Dina,Bisexual,The Last of Us,2023-,HBO
Ellie,Lesbian,The Last of Us,2023-,HBO
Frank,Gay,The Last of Us,2023-,HBO
Kat,[MANUAL_ENTRY_REQUIRED],The Last of Us,2023-,HBO
Cate Randa,[MANUAL_ENTRY_REQUIRED],Monarch: Legacy of Monsters,2023–,Apple TV+
Dani,[MANUAL_ENTRY_REQUIRED],Monarch: Legacy of Monsters,2023–,Apple TV+
Lee Wan/Ian,[MANUAL_ENTRY_REQUIRED],Our Dating Sim,2023,"Rakuten TV, Viki, GagaOOLala"
Shin Ki-tae/Eddy,[MANUAL_ENTRY_REQUIRED],Our Dating Sim,2023,"Rakuten TV, Viki, GagaOOLala"
Brimsley,[MANUAL_ENTRY_REQUIRED],Queen Charlotte: A Bridgerton Story,2023,Netflix
Reynolds,[MANUAL_ENTRY_REQUIRED],Queen Charlotte: A Bridgerton Story,2023,Netflix
Charley,Gay,School Spirits,2023-,Paramount+
Emilio Figuero,[MANUAL_ENTRY_REQUIRED],School Spirits,2023-,Paramount+
Yuri,[MANUAL_ENTRY_REQUIRED],School Spirits,2023-,Paramount+
Desi,Lesbian,Sin Huella (No Traces),2023,Amazon Prime Video
Martha Walker,[MANUAL_ENTRY_REQUIRED],Silo,2023-,Apple TV+
Carla,[MANUAL_ENTRY_REQUIRED],Silo,2023-,Apple TV+
Cruz/Zara Manuelos,Bisexual,Special Ops: Lioness,2023,Paramount+
Aaliyah Amrohi,[MANUAL_ENTRY_REQUIRED],Special Ops: Lioness,2023,Paramount+
Tore,Gay,Tore,2023,Netflix
Jecki Lon,[MANUAL_ENTRY_REQUIRED],The Acolyte,2024,Disney+
Agatha Harkness,[MANUAL_ENTRY_REQUIRED],Agatha All Along,2024,Disney+
Rio Vidal,[MANUAL_ENTRY_REQUIRED],Agatha All Along,2024,Disney+
William Kaplan / Billy Maximoff,[MANUAL_ENTRY_REQUIRED],Agatha All Along,2024,Disney+
Eddie,[MANUAL_ENTRY_REQUIRED],Agatha All Along,2024,Disney+
Dana Dang,[MANUAL_ENTRY_REQUIRED],Brilliant Minds,2024-,NBC
Dr. Josh Nichols,Gay,Brilliant Minds,2024-,NBC
Katie Rodriguez,[MANUAL_ENTRY_REQUIRED],Brilliant Minds,2024-,NBC
Dr. Oliver Wolf,Gay,Brilliant Minds,2024-,NBC
Edwin Payne,Gay,Dead Boy Detectives,2024,Netflix
Monty,Gay,Dead Boy Detectives,2024,Netflix
Cat King,[MANUAL_ENTRY_REQUIRED],Dead Boy Detectives,2024,Netflix
Jenny Green,Lesbian,Dead Boy Detectives,2024,Netflix
Maxine,[MANUAL_ENTRY_REQUIRED],Dead Boy Detectives,2024,Netflix
Gabriel,Gay,Lost Boys and Fairies,2024,BBC
Andy,Gay,Lost Boys and Fairies,2024,BBC
"George Villiers, 1st Duke of Buckingham",[MANUAL_ENTRY_REQUIRED],Mary & George,2024,"Sky Atlantic, Starz"
James VI and I,[MANUAL_ENTRY_REQUIRED],Mary & George,2024,"Sky Atlantic, Starz"
"Robert Carr, 1st Earl of Somerset",[MANUAL_ENTRY_REQUIRED],Mary & George,2024,"Sky Atlantic, Starz"
"Mary Villiers, Countess of Buckingham",[MANUAL_ENTRY_REQUIRED],Mary & George,2024,"Sky Atlantic, Starz"
Sandie,[MANUAL_ENTRY_REQUIRED],Mary & George,2024,"Sky Atlantic, Starz"
King Edward,Gay,My Lady Jane,2024,Amazon Prime
Fitz,Gay,My Lady Jane,2024,Amazon Prime
Maki Ryota,[MANUAL_ENTRY_REQUIRED],Ossan's Love Returns,2024,TV Asahi
Haruta Soichi,[MANUAL_ENTRY_REQUIRED],Ossan's Love Returns,2024,TV Asahi
Kurosawa Musashi,[MANUAL_ENTRY_REQUIRED],Ossan's Love Returns,2024,TV Asahi
Vito,Gay,Sram,2024–,"HRT 1, HRTi, YouTube"
Lovro,Gay,Sram,2024–,"HRT 1, HRTi, YouTube"
Ivan Kovačić,Gay,Sram,2024–,"HRT 1, HRTi, YouTube"
Caltonia,[MANUAL_ENTRY_REQUIRED],Those About to Die,2024,"Peacock, Amazon Prime Video"
Cam Bentland,[MANUAL_ENTRY_REQUIRED],Under the Bridge,2024,Hulu
Rebecca Godfrey,[MANUAL_ENTRY_REQUIRED],Under the Bridge,2024,Hulu
Anton Evans,Gay,Adults,2025,FX
Paul Baker,[MANUAL_ENTRY_REQUIRED],Adults,2025,FX
Shelley Morris,[MANUAL_ENTRY_REQUIRED],The Beast in Me,2025,Netflix
Aggie Wiggs,[MANUAL_ENTRY_REQUIRED],The Beast in Me,2025,Netflix
Cameron Cope,Gay,Boots,2025,Netflix
Shane Hollander,[MANUAL_ENTRY_REQUIRED],Heated Rivalry,2025—,Crave
Ilya Rozanov,[MANUAL_ENTRY_REQUIRED],Heated Rivalry,2025—,Crave
Scott Hunter,[MANUAL_ENTRY_REQUIRED],Heated Rivalry,2025—,Crave
"Christopher ""Kip"" Grady",[MANUAL_ENTRY_REQUIRED],Heated Rivalry,2025—,Crave
Charlie Roth,[MANUAL_ENTRY_REQUIRED],Invisible Boys,2025,Stan
Zeke Calogero,[MANUAL_ENTRY_REQUIRED],Invisible Boys,2025,Stan
Kade 'Hammer' Hammersmith,[MANUAL_ENTRY_REQUIRED],Invisible Boys,2025,Stan
Matt Jones,[MANUAL_ENTRY_REQUIRED],Invisible Boys,2025,Stan
Bunny Schneiderman,Gay,Mid-Century Modern,2025-,Hulu
Jerry Frank,Gay,Mid-Century Modern,2025-,Hulu
Arthur Broussard,Gay,Mid-Century Modern,2025-,Hulu
Carroll Mintz,[MANUAL_ENTRY_REQUIRED],Mid-Century Modern,2025-,Hulu
Roque Pérez,Queer,Olympo,2025,Netflix
Sebas Senghor,Gay,Olympo,2025,Netflix
Diego Sorokov,Gay,Olympo,2025,Netflix
Zoe Moral,Bisexual,Olympo,2025,Netflix
Jennifer Pina,[MANUAL_ENTRY_REQUIRED],Olympo,2025,Netflix
Renata Aguilera,[MANUAL_ENTRY_REQUIRED],Olympo,2025,Netflix
Benny,[MANUAL_ENTRY_REQUIRED],Overcompensating,2025,Amazon Prime
Edward Brooks,Gay,Prime Target,2025,Apple TV+
"Alexander ""Sandy"" Gordon",[MANUAL_ENTRY_REQUIRED],Running Point,2025,Netflix
Charlie,[MANUAL_ENTRY_REQUIRED],Running Point,2025,Netflix
